file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
DPP0012.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,238.72,115.126,52.972,-0.336,-1.033,5.191,0.141
DPP0012_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.29,1.556,19.861,12.683,158.849,0.037,0.002
DPP0022.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,196.99,110.162,29.505,-1.342,0.874,4.25,0.034
DPP0022_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.5,11.442,52.789,4.397,17.334,0.183,0.004
DPP0033.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,263.56,108.92,44.39,0.184,-0.999,5.079,0.164
DPP0033_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.72,20.349,69.101,3.101,7.618,0.278,0.009
DPP0086.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,241.16,132.575,61.182,0.376,-0.969,5.248,0.132
DPP0086_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.53,10.308,50.223,4.667,19.78,0.169,0.005
DPP0093.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,239.85,126.647,35.487,-0.21,-1.051,4.758,0.079
DPP0093_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.26,2.072,22.892,10.958,118.085,0.047,0.002
DPP0100.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,220.54,119.587,41.133,0.303,-0.586,5.002,0.075
DPP0100_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.46,8.65,46.161,5.149,24.516,0.148,0.004
DPP0122.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,340.68,114.071,59.555,0.315,-1.197,5.298,0.209
DPP0122_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.45,9.098,47.3,5.006,23.065,0.154,0.004
DPP0173.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,236.45,118.139,51.965,0.237,-1.372,5.048,0.093
DPP0173_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.44,11.329,52.542,4.422,17.554,0.182,0.004
DPP0183.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,319.28,123.994,47.137,0.123,-0.275,5.222,0.17
DPP0183_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.45,11.542,53.009,4.375,17.141,0.184,0.004
DPP0219.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,290.93,118.269,51.41,0.232,-1.345,5.11,0.12
DPP0219_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.41,13.779,57.652,3.945,13.563,0.21,0.004
DPP0243.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,239.42,144.97,47.701,-0.383,-1.012,5.123,0.118
DPP0243_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.35,45.377,97.529,1.684,0.836,0.468,0.002
DPP0251.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,261.04,106.876,47.146,1.336,1.939,4.935,0.095
DPP0251_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.37,2.593,25.584,9.764,93.341,0.057,0.003
DPP0308.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,227.03,121.495,51.526,0.917,-0.246,5.025,0.067
DPP0308_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.28,3.451,29.464,8.42,68.902,0.072,0.002
DPP0331.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,305.93,134.99,60.894,0.556,-0.561,5.205,0.183
DPP0331_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.7,16.209,62.214,3.578,10.8,0.237,0.006
DPP0340.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,233.24,121.971,25.977,-0.959,2.796,4.452,0.056
DPP0340_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.45,40.668,93.362,1.86,1.46,0.439,0.006
DPP0405.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,260.1,110.151,46.034,-0.099,-1.166,5.023,0.159
DPP0405_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.27,4.112,32.12,7.683,57.026,0.083,0.002
DPP0445.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,356.18,148.623,48.143,-0.11,-0.669,5.259,0.24
DPP0445_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.45,8.443,45.625,5.219,25.237,0.145,0.004
DPP0454.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,289.93,112.0,58.953,0.175,-0.659,5.23,0.17
DPP0454_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.54,10.765,51.275,4.553,18.733,0.175,0.005
DPP0478.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,317.25,112.934,47.332,-0.104,-0.903,5.21,0.175
DPP0478_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.49,4.171,32.346,7.626,56.149,0.084,0.004
DPP0519.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,338.64,118.662,47.338,0.472,-0.248,5.214,0.193
DPP0519_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.25,1.95,22.213,11.304,125.785,0.045,0.001
DPP0526.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,296.3,106.353,37.233,0.657,0.647,4.995,0.127
DPP0526_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.47,15.979,61.8,3.609,11.025,0.234,0.003
DPP0549.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,260.49,126.403,59.38,-0.075,-1.438,5.21,0.117
DPP0549_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.31,6.79,41.053,5.881,32.582,0.123,0.002
DPP0550.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,290.38,120.53,54.532,0.355,-1.14,5.21,0.159
DPP0550_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.32,22.501,72.329,2.903,6.429,0.298,0.002
DPP0581.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,240.66,126.054,46.16,0.457,-0.714,5.106,0.14
DPP0581_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.39,5.07,35.599,6.878,45.311,0.098,0.003
DPP0602.TIF,Canon_60D,NA,Canon_60D_NA,480,270,1.778,250.92,123.881,61.234,0.656,-0.44,5.134,0.122
DPP0602_mask.PNG,Canon_60D,NA,Canon_60D_NA,480,270,1.778,0.35,3.026,27.614,9.015,79.277,0.064,0.003
